Red,Yellow,Green,TimeActive,Time
1,0,1,6,0:00:40
1,1,0,3,0:01:46
1,0,1,6,0:03:38
0,1,1,1,0:06:02
1,1,0,5,0:07:22
0,1,1,8,0:08:46
1,1,0,3,0:09:39
1,0,1,2,0:10:33
1,1,0,1,0:10:55
1,0,1,1,0:11:32
1,1,0,8,0:14:50
1,1,0,1,0:18:21
1,1,0,7,0:19:55
0,1,1,5,0:22:12
1,0,1,3,0:23:27
1,1,0,7,0:24:36
1,1,0,2,0:30:40
0,1,1,3,0:31:05
1,1,0,5,0:31:27
0,1,1,1,0:32:49
1,0,1,5,0:33:23
0,1,1,1,0:35:01
1,0,1,5,0:35:39
1,1,0,8,0:38:47
1,0,1,6,0:45:51
1,1,0,6,0:52:06
0,1,1,9,0:55:53
1,0,1,2,0:55:55
0,1,1,9,1:00:48
1,1,0,1,1:04:47
1,1,0,9,1:06:43
0,1,1,8,1:08:14
1,1,0,6,1:08:38
1,1,0,6,1:11:08
1,0,1,4,1:15:20
1,0,1,2,1:16:51
1,1,0,1,1:17:53
0,1,1,6,1:19:08
0,1,1,4,1:21:14
1,0,1,3,1:21:29
1,0,1,2,1:21:47
1,1,0,5,1:23:45
1,1,0,3,1:32:00
0,1,1,1,1:32:10
1,1,0,6,1:34:18
0,1,1,4,1:36:37
1,1,0,7,1:38:44
0,1,1,1,1:39:24
1,1,0,6,1:41:00
1,1,0,3,1:42:12
1,0,1,3,1:45:14
0,1,1,2,1:48:31
1,1,0,3,1:49:11
1,1,0,9,1:49:41
1,1,0,3,1:50:07
0,1,1,2,1:52:24
1,0,1,2,1:53:46
1,0,1,6,1:55:00
0,1,1,7,1:57:43
1,1,0,9,1:59:27
1,1,0,4,2:02:03
0,1,1,7,2:02:52
0,1,1,5,2:05:28
1,1,0,9,2:05:56
1,0,1,1,2:06:18
1,0,1,2,2:09:35
1,0,1,9,2:10:08
1,1,0,5,2:13:35
0,1,1,1,2:17:45
1,0,1,7,2:18:11
1,1,0,3,2:23:13
1,0,1,7,2:23:58
1,0,1,8,2:25:13
1,1,0,3,2:30:37
0,1,1,2,2:30:48
0,1,1,5,2:31:09
1,0,1,9,2:31:25
0,1,1,6,2:34:49
1,0,1,8,2:35:35
0,1,1,5,2:37:32
0,1,1,7,2:38:34
1,0,1,5,2:39:54
0,1,1,4,2:40:15
1,0,1,5,2:40:50
1,1,0,1,2:41:22
1,0,1,2,2:46:04
1,1,0,4,2:46:08
1,1,0,1,2:48:03
1,1,0,6,2:49:21
1,1,0,4,2:49:25
1,0,1,6,2:51:06
1,1,0,3,2:53:25
1,1,0,4,2:54:30
0,1,1,9,2:54:46
1,0,1,8,2:55:28
1,1,0,4,2:59:10
0,1,1,8,2:59:25
0,1,1,5,3:01:34
1,1,0,8,3:01:58
1,1,0,7,3:02:16
0,1,1,8,3:05:50
1,1,0,9,3:06:36
1,1,0,1,3:07:37
1,1,0,9,3:11:17
1,1,0,2,3:14:30
0,1,1,6,3:16:27
1,0,1,7,3:18:13
1,1,0,1,3:18:14
1,0,1,8,3:19:51
1,1,0,7,3:20:35
1,1,0,2,3:20:57
1,1,0,6,3:21:22
0,1,1,4,3:21:55
0,1,1,4,3:22:36
0,1,1,2,3:24:35
0,1,1,5,3:24:57
0,1,1,6,3:25:19
0,1,1,2,3:27:18
1,1,0,9,3:30:31
0,1,1,9,3:31:21
1,1,0,1,3:31:52
0,1,1,5,3:35:04
0,1,1,7,3:36:27
0,1,1,2,3:36:48
1,1,0,1,3:40:26
1,0,1,5,3:42:16
1,1,0,8,3:44:19
0,1,1,1,3:45:03
1,1,0,1,3:45:05
1,1,0,7,3:45:14
0,1,1,9,3:45:23
0,1,1,1,3:46:01
1,0,1,7,3:46:39
0,1,1,6,3:48:15
0,1,1,5,3:49:09
1,1,0,2,3:54:41
0,1,1,1,3:55:14
0,1,1,8,3:55:22
0,1,1,6,3:56:19
1,0,1,3,3:56:47
1,1,0,4,3:57:24
1,0,1,4,3:58:17
1,1,0,9,4:04:47
1,1,0,6,4:05:25
1,0,1,1,4:05:49
1,1,0,1,4:05:50
0,1,1,7,4:07:15
0,1,1,1,4:09:49
1,0,1,3,4:10:21
0,1,1,2,4:18:11
0,1,1,5,4:19:37
1,0,1,9,4:24:01
1,1,0,8,4:25:18
0,1,1,5,4:30:31
1,1,0,1,4:31:26
1,0,1,7,4:33:10
1,0,1,2,4:33:19
1,0,1,6,4:38:00
1,0,1,9,4:38:26
1,1,0,2,4:38:28
0,1,1,2,4:39:05
1,1,0,4,4:39:53
1,1,0,9,4:45:30
1,0,1,4,4:46:05
1,1,0,5,4:50:10
1,1,0,7,4:51:13
0,1,1,3,4:53:40
0,1,1,3,4:56:31
